id,name,hour,day,month,year,hod,dow,average,measurement_count,parameter,parameterId,displayName,unit,first_datetime,last_datetime
10869,Geelong South,,,2020-01-01,,,,44.87059405940591,505,pm10,1,PM10,µg/m³,2020-01-06T20:00:00Z,2020-02-01T00:00:00Z
10869,Geelong South,,,2020-01-01,,,,24.4285856573705,502,pm25,2,PM2.5,µg/m³,2020-01-06T20:00:00Z,2020-02-01T00:00:00Z
10869,Geelong South,,,2020-01-01,,,,0.005555257352941136,544,no2,7,NO₂,ppm,2020-01-06T20:00:00Z,2020-02-01T00:00:00Z
10869,Geelong South,,,2020-01-01,,,,0.30577861163227016,533,co,8,CO,ppm,2020-01-06T20:00:00Z,2020-02-01T00:00:00Z
10869,Geelong South,,,2020-01-01,,,,0.0006317934782608698,368,so2,9,SO₂,ppm,2020-01-06T20:00:00Z,2020-02-01T00:00:00Z
10869,Geelong South,,,2020-01-01,,,,0.023986856060606025,528,o3,10,O₃,ppm,2020-01-06T20:00:00Z,2020-02-01T00:00:00Z
10869,Geelong South,,,2020-02-01,,,,16.761080669710825,657,pm10,1,PM10,µg/m³,2020-02-01T01:00:00Z,2020-03-01T00:00:00Z
10869,Geelong South,,,2020-02-01,,,,5.6596187175043315,577,pm25,2,PM2.5,µg/m³,2020-02-01T01:00:00Z,2020-03-01T00:00:00Z
10869,Geelong South,,,2020-02-01,,,,0.003271209677419331,620,no2,7,NO₂,ppm,2020-02-01T01:00:00Z,2020-03-01T00:00:00Z
10869,Geelong South,,,2020-02-01,,,,0.10953719008264468,605,co,8,CO,ppm,2020-02-01T01:00:00Z,2020-03-01T00:00:00Z
10869,Geelong South,,,2020-02-01,,,,0.00028157009345794394,535,so2,9,SO₂,ppm,2020-02-01T01:00:00Z,2020-03-01T00:00:00Z
10869,Geelong South,,,2020-02-01,,,,0.01552598399999998,625,o3,10,O₃,ppm,2020-02-01T01:00:00Z,2020-03-01T00:00:00Z
10869,Geelong South,,,2020-03-01,,,,19.99430745814308,657,pm10,1,PM10,µg/m³,2020-03-01T01:00:00Z,2020-04-01T00:00:00Z
10869,Geelong South,,,2020-03-01,,,,4.709389312977099,655,pm25,2,PM2.5,µg/m³,2020-03-01T01:00:00Z,2020-04-01T00:00:00Z
10869,Geelong South,,,2020-03-01,,,,0.005413518518518476,648,no2,7,NO₂,ppm,2020-03-01T01:00:00Z,2020-04-01T00:00:00Z
10869,Geelong South,,,2020-03-01,,,,0.11057098765432102,648,co,8,CO,ppm,2020-03-01T01:00:00Z,2020-04-01T00:00:00Z
10869,Geelong South,,,2020-03-01,,,,0.0005867515923566882,157,so2,9,SO₂,ppm,2020-03-01T01:00:00Z,2020-03-15T14:00:00Z
10869,Geelong South,,,2020-03-01,,,,0.017660771604938244,648,o3,10,O₃,ppm,2020-03-01T01:00:00Z,2020-04-01T00:00:00Z
10869,Geelong South,,,2020-04-01,,,,15.455450310558996,644,pm10,1,PM10,µg/m³,2020-04-01T01:00:00Z,2020-05-01T00:00:00Z
10869,Geelong South,,,2020-04-01,,,,6.191055900621127,644,pm25,2,PM2.5,µg/m³,2020-04-01T01:00:00Z,2020-05-01T00:00:00Z
10869,Geelong South,,,2020-04-01,,,,0.005697041322314017,605,no2,7,NO₂,ppm,2020-04-01T01:00:00Z,2020-05-01T00:00:00Z
10869,Geelong South,,,2020-04-01,,,,0.1299823008849557,565,co,8,CO,ppm,2020-04-01T01:00:00Z,2020-05-01T00:00:00Z
10869,Geelong South,,,2020-04-01,,,,0.0001975384615384615,130,so2,9,SO₂,ppm,2020-04-22T04:00:00Z,2020-05-01T00:00:00Z
10869,Geelong South,,,2020-04-01,,,,0.017436694214875988,605,o3,10,O₃,ppm,2020-04-01T01:00:00Z,2020-05-01T00:00:00Z
