id,name,month,average,measurement_count,parameter,parameterId,displayName,unit
10771,Traralgon,1/1/2020,47.22807958,578,pm10,1,PM10,µg/m³
10771,Traralgon,1/1/2020,26.98190037,542,pm25,2,PM2.5,µg/m³
10771,Traralgon,1/1/2020,0.006016529,556,no2,7,NO₂,ppm
10771,Traralgon,1/1/2020,0.498507194,556,co,8,CO,ppm
10771,Traralgon,1/1/2020,0.000783952,496,so2,9,SO₂,ppm
10771,Traralgon,1/1/2020,0.022323273,556,o3,10,O₃,ppm
10771,Traralgon,2/1/2020,16.82442177,588,pm10,1,PM10,µg/m³
10771,Traralgon,2/1/2020,6.64867121,587,pm25,2,PM2.5,µg/m³
10771,Traralgon,2/1/2020,0.004098782,550,no2,7,NO₂,ppm
10771,Traralgon,2/1/2020,0.126759777,537,co,8,CO,ppm
10771,Traralgon,2/1/2020,0.000851801,522,so2,9,SO₂,ppm
10771,Traralgon,2/1/2020,0.015772928,526,o3,10,O₃,ppm
10771,Traralgon,3/1/2020,17.39536513,671,pm10,1,PM10,µg/m³
10771,Traralgon,3/1/2020,5.900118343,676,pm25,2,PM2.5,µg/m³
10771,Traralgon,3/1/2020,0.005530122,654,no2,7,NO₂,ppm
10771,Traralgon,3/1/2020,0.101694656,655,co,8,CO,ppm
10771,Traralgon,3/1/2020,0.000401774,654,so2,9,SO₂,ppm
10771,Traralgon,3/1/2020,0.015459281,654,o3,10,O₃,ppm
10771,Traralgon,4/1/2020,14.43779503,644,pm10,1,PM10,µg/m³
10771,Traralgon,4/1/2020,7.421554487,624,pm25,2,PM2.5,µg/m³
10771,Traralgon,4/1/2020,0.00548005,602,no2,7,NO₂,ppm
10771,Traralgon,4/1/2020,0.1059319,558,co,8,CO,ppm
10771,Traralgon,4/1/2020,0.00063625,552,so2,9,SO₂,ppm
10771,Traralgon,4/1/2020,0.015225415,602,o3,10,O₃,ppm
10771,Traralgon,5/1/2020,14.8549429,613,pm10,1,PM10,µg/m³
10771,Traralgon,5/1/2020,10.83388979,617,pm25,2,PM2.5,µg/m³
10771,Traralgon,5/1/2020,0.007808957,575,no2,7,NO₂,ppm
10771,Traralgon,5/1/2020,0.351573034,534,co,8,CO,ppm
10771,Traralgon,5/1/2020,0.000505725,510,so2,9,SO₂,ppm
10771,Traralgon,5/1/2020,0.011007534,588,o3,10,O₃,ppm
10771,Traralgon,6/1/2020,16.69076212,433,pm10,1,PM10,µg/m³
10771,Traralgon,6/1/2020,13.24616529,605,pm25,2,PM2.5,µg/m³
10771,Traralgon,6/1/2020,0.008415087,576,no2,7,NO₂,ppm
10771,Traralgon,6/1/2020,0.35866087,575,co,8,CO,ppm
10771,Traralgon,6/1/2020,0.000655043,575,so2,9,SO₂,ppm
10771,Traralgon,6/1/2020,0.009907795,576,o3,10,O₃,ppm
10771,Traralgon,7/1/2020,13.93327674,589,pm10,1,PM10,µg/m³
10771,Traralgon,7/1/2020,8.519672447,519,pm25,2,PM2.5,µg/m³
10771,Traralgon,7/1/2020,0.008348967,552,no2,7,NO₂,ppm
10771,Traralgon,7/1/2020,0.282314647,553,co,8,CO,ppm
10771,Traralgon,7/1/2020,0.000731085,553,so2,9,SO₂,ppm
10771,Traralgon,7/1/2020,0.013249004,552,o3,10,O₃,ppm
10771,Traralgon,8/1/2020,14.32686567,603,pm10,1,PM10,µg/m³
10771,Traralgon,8/1/2020,8.366208609,604,pm25,2,PM2.5,µg/m³
10771,Traralgon,8/1/2020,0.006690399,577,no2,7,NO₂,ppm
10771,Traralgon,8/1/2020,0.242352941,578,co,8,CO,ppm
10771,Traralgon,8/1/2020,0.000788232,577,so2,9,SO₂,ppm
10771,Traralgon,8/1/2020,0.017281282,577,o3,10,O₃,ppm
10771,Traralgon,9/1/2020,16.70948276,580,pm10,1,PM10,µg/m³
10771,Traralgon,9/1/2020,6.502354892,603,pm25,2,PM2.5,µg/m³
10771,Traralgon,9/1/2020,0.005991528,576,no2,7,NO₂,ppm
10771,Traralgon,9/1/2020,0.181721739,575,co,8,CO,ppm
10771,Traralgon,9/1/2020,0.000919358,576,so2,9,SO₂,ppm
10771,Traralgon,9/1/2020,0.018268872,576,o3,10,O₃,ppm
10771,Traralgon,10/1/2020,14.3816242,628,pm10,1,PM10,µg/m³
10771,Traralgon,10/1/2020,4.984474522,628,pm25,2,PM2.5,µg/m³
10771,Traralgon,10/1/2020,0.004082466,588,no2,7,NO₂,ppm
10771,Traralgon,10/1/2020,0.152201365,586,co,8,CO,ppm
10771,Traralgon,10/1/2020,0.000457772,588,so2,9,SO₂,ppm
10771,Traralgon,10/1/2020,0.019325816,588,o3,10,O₃,ppm
10771,Traralgon,11/1/2020,21.69659864,588,pm10,1,PM10,µg/m³
10771,Traralgon,11/1/2020,6.445964215,503,pm25,2,PM2.5,µg/m³
10771,Traralgon,11/1/2020,0.003894991,561,no2,7,NO₂,ppm
10771,Traralgon,11/1/2020,0.123571429,560,co,8,CO,ppm
10771,Traralgon,11/1/2020,0.000797576,561,so2,9,SO₂,ppm
10771,Traralgon,11/1/2020,0.019197184,561,o3,10,O₃,ppm
10771,Traralgon,12/1/2020,16.56571936,563,pm10,1,PM10,µg/m³
10771,Traralgon,12/1/2020,5.018456261,583,pm25,2,PM2.5,µg/m³
10771,Traralgon,12/1/2020,0.003262726,554,no2,7,NO₂,ppm
10771,Traralgon,12/1/2020,0.092947559,553,co,8,CO,ppm
10771,Traralgon,12/1/2020,0.001203989,554,so2,9,SO₂,ppm
10771,Traralgon,12/1/2020,0.016139404,554,o3,10,O₃,ppm
10771,Traralgon,1/1/2021,17.7751875,640,pm10,1,PM10,µg/m³
10771,Traralgon,1/1/2021,5.662765625,640,pm25,2,PM2.5,µg/m³
10771,Traralgon,1/1/2021,0.003526486,609,no2,7,NO₂,ppm
10771,Traralgon,1/1/2021,0.104884868,608,co,8,CO,ppm
10771,Traralgon,1/1/2021,0.001204171,609,so2,9,SO₂,ppm
10771,Traralgon,1/1/2021,0.015572824,609,o3,10,O₃,ppm
10771,Traralgon,2/1/2021,17.66808383,501,pm10,1,PM10,µg/m³
10771,Traralgon,2/1/2021,4.994008439,474,pm25,2,PM2.5,µg/m³
10771,Traralgon,2/1/2021,0.003716278,454,no2,7,NO₂,ppm
