id,name,average,parameter,unit,months,year
10771,Traralgon,47.22807958,pm10,µg/m³,January,2020
10771,Traralgon,26.98190037,pm25,µg/m³,January,2020
10771,Traralgon,0.006016529,no2,ppm,January,2020
10771,Traralgon,0.498507194,co,ppm,January,2020
10771,Traralgon,0.000783952,so2,ppm,January,2020
10771,Traralgon,0.022323273,o3,ppm,January,2020
10771,Traralgon,16.82442177,pm10,µg/m³,February,2020
10771,Traralgon,6.64867121,pm25,µg/m³,February,2020
10771,Traralgon,0.004098782,no2,ppm,February,2020
10771,Traralgon,0.126759777,co,ppm,February,2020
10771,Traralgon,0.000851801,so2,ppm,February,2020
10771,Traralgon,0.015772928,o3,ppm,February,2020
10771,Traralgon,17.39536513,pm10,µg/m³,March,2020
10771,Traralgon,5.900118343,pm25,µg/m³,March,2020
10771,Traralgon,0.005530122,no2,ppm,March,2020
10771,Traralgon,0.101694656,co,ppm,March,2020
10771,Traralgon,0.000401774,so2,ppm,March,2020
10771,Traralgon,0.015459281,o3,ppm,March,2020
10771,Traralgon,14.43779503,pm10,µg/m³,April,2020
10771,Traralgon,7.421554487,pm25,µg/m³,April,2020
10771,Traralgon,0.00548005,no2,ppm,April,2020
10771,Traralgon,0.1059319,co,ppm,April,2020
10771,Traralgon,0.00063625,so2,ppm,April,2020
10771,Traralgon,0.015225415,o3,ppm,April,2020
10771,Traralgon,14.8549429,pm10,µg/m³,May,2020
10771,Traralgon,10.83388979,pm25,µg/m³,May,2020
10771,Traralgon,0.007808957,no2,ppm,May,2020
10771,Traralgon,0.351573034,co,ppm,May,2020
10771,Traralgon,0.000505725,so2,ppm,May,2020
10771,Traralgon,0.011007534,o3,ppm,May,2020
10771,Traralgon,16.69076212,pm10,µg/m³,June,2020
10771,Traralgon,13.24616529,pm25,µg/m³,June,2020
10771,Traralgon,0.008415087,no2,ppm,June,2020
10771,Traralgon,0.35866087,co,ppm,June,2020
10771,Traralgon,0.000655043,so2,ppm,June,2020
10771,Traralgon,0.009907795,o3,ppm,June,2020
10771,Traralgon,13.93327674,pm10,µg/m³,July,2020
10771,Traralgon,8.519672447,pm25,µg/m³,July,2020
10771,Traralgon,0.008348967,no2,ppm,July,2020
10771,Traralgon,0.282314647,co,ppm,July,2020
10771,Traralgon,0.000731085,so2,ppm,July,2020
10771,Traralgon,0.013249004,o3,ppm,July,2020
10771,Traralgon,14.32686567,pm10,µg/m³,August,2020
